uuid,datetime_recorded,med_start_time,med_prob,msc_start_time,msc_end_time,med_stop_time,ae aegypti,an arabiensis,an coustani,an funestus ss,an squamosus,culex pipiens complex,ma africanus,ma uniformis
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,0.64,0.7788,0.0,1.92,2.56,1.1793704146612072e-07,9.478547144681215e-05,9.075008620129665e-07,7.13793752993297e-08,1.6375896194631423e-08,6.319678959698649e-06,1.735992611884285e-07,0.9998975992202759
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,2.56,0.7788,1.92,3.84,4.48,4.824364552291627e-08,9.304201739723794e-06,1.0813636208695243e-07,2.4467162518249097e-08,2.9028722536850182e-08,1.4905124771757983e-05,1.325712517541433e-08,0.9999755620956421
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,4.4799999999999995,0.7788,3.84,5.76,6.3999999999999995,1.3341362148366898e-07,0.0002745838137343526,5.843717758580169e-07,2.061311903389651e-07,2.6739542136056116e-07,4.1207509639207274e-05,6.212528091964487e-08,0.9996829032897949
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,6.3999999999999995,0.7788,5.76,7.68,8.32,1.6598475482965114e-08,1.0425596883578692e-06,4.491643679216395e-08,5.264378266645053e-09,4.3815124861623644e-09,1.22568735605455e-07,8.207829971240699e-10,0.9999988079071045
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,8.32,0.7788,7.68,9.6,10.24,6.324948031988242e-08,3.2589700822427403e-06,1.7285651665588375e-07,7.243004063184344e-08,4.490109972721257e-08,7.203752829809673e-06,1.2309508967689453e-08,0.9999891519546509
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,10.24,0.7788,9.6,11.52,12.16,8.774894922680687e-06,0.20474909245967865,0.0002925471344497055,3.3259770134463906e-05,1.607690137461759e-05,0.01350896805524826,2.623822547320742e-05,0.7813650965690613
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,12.16,0.7788,11.52,13.44,14.08,6.547269038037484e-08,2.2373673402853456e-07,1.485587404204125e-07,2.5843473139275375e-08,2.1489574564270697e-08,8.162736776284873e-06,5.9561817700171105e-09,0.9999912977218628
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,14.08,0.7788,13.44,15.36,16.0,1.4885783627960336e-07,6.17216937826015e-05,7.259856147356913e-07,8.556040853591185e-08,4.151960908416186e-08,2.7809512175736018e-05,6.887086101414752e-08,0.9999092817306519
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,16.0,0.7788,15.36,17.28,17.92,6.302285271431174e-08,1.5690016880398616e-05,1.0586681042923374e-07,4.76760639855911e-08,4.48990498114199e-08,2.4062774173216894e-06,1.2654771452957903e-08,0.9999816417694092
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,17.92,0.7788,17.28,19.200000000000003,19.840000000000003,4.838202585233375e-07,4.620029812940629e-06,2.068164803858963e-06,4.603955972015683e-07,7.502435437345412e-07,1.6991303709801286e-05,1.9525467109815509e-07,0.9999743700027466
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,19.84,0.7788,19.2,21.119999999999997,21.759999999999998,2.271632482120367e-08,1.5071219650053536e-07,1.4476767340454444e-08,8.37597013969571e-09,4.80953898929215e-09,2.3254439440734131e-07,5.580290451945302e-09,0.9999995231628418
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,35.84,0.8164,21.12,23.04,37.760000000000005,3.4290064832021017e-07,0.0006562085472978652,1.350425463897409e-06,4.6498459482791077e-07,1.9698114783750498e-07,9.898663847707212e-05,1.8283029135091056e-07,0.9992421865463257
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,37.760000000000005,0.8164,23.04,24.96,39.68000000000001,2.6721357926362543e-07,6.237468915060163e-05,4.0683158886167803e-07,1.5374564554804238e-07,2.072728761959297e-07,1.832695306802634e-05,6.8026388078124e-08,0.9999181032180786
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,39.68000000000001,0.8164,24.96,26.880000000000003,41.60000000000001,4.4856083292188487e-08,1.391039950249251e-05,2.031975157024135e-07,1.0555385010491136e-08,3.0198581413287684e-08,2.1071457467769505e-06,2.2469468508035106e-09,0.9999836683273315
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,41.599999999999994,0.8164,26.88,28.799999999999997,43.519999999999996,2.3870249776791752e-08,2.1583399245628243e-07,2.486510375376838e-08,1.0515041282133097e-08,1.4035833828529576e-08,2.1064748523258459e-07,1.2029025775461832e-08,0.9999995231628418
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,43.519999999999996,0.8164,28.8,30.72,45.44,4.99617897276039e-07,0.00040602521039545536,8.844798685458954e-06,2.8688043585134437e-07,2.4484231175847526e-07,0.0002843995171133429,1.8847319438464183e-07,0.9992994070053101
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,45.44,0.8164,30.72,32.64,47.36,9.236443077043077e-08,7.654750788788078e-07,4.0583574900665553e-07,9.768694297918046e-09,1.286998330130018e-08,5.179041636438342e-06,7.691499881445907e-09,0.9999935626983643
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,47.36,0.8164,32.64,34.56,49.28,1.4546798183801002e-06,0.0129774771630764,3.4030603274004534e-05,1.6155549928953405e-06,5.282366828396334e-07,2.466093974362593e-05,2.5783194246287167e-07,0.9869599938392639
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,49.28,0.8164,34.56,36.480000000000004,51.2,7.434392301775006e-08,0.00017670814122539014,3.2247240255856013e-07,1.2480529676395236e-07,1.3998395331782376e-07,3.6413396173884394e-06,4.3808103811215915e-08,0.9998189806938171
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,51.2,0.8164,36.48,38.4,53.120000000000005,4.6442781354016915e-07,4.4734948460245505e-05,1.2414931234161486e-06,1.272788239248257e-07,3.6043337559021893e-07,1.8027977830570308e-06,1.4937587877739134e-07,0.9999511241912842
